,train_loss,validate_loss,validate_accuracy
0,0.6744511463467737,3.094340551110339,11.32
1,0.35018557953071233,0.3484425159388295,90.56
2,0.31148642865433923,0.2986627119063626,91.77
3,0.2883637162833564,0.2787108031112215,92.01
4,0.26864864627402923,0.25986989609139777,92.51
5,0.250829415160379,0.24182766284277318,93.08
6,0.23379776831372737,0.22857227880289457,93.6
7,0.21846584765607832,0.21313033629515177,94.11
8,0.20458521046281494,0.20200357299517346,94.26
9,0.1923301139256164,0.19301192437190742,94.79
10,0.18136049067754004,0.18173905515542516,95.04
11,0.17146000227908073,0.1745296635483059,95.34
12,0.16292372570168376,0.16698364434280255,95.48
13,0.155151723283392,0.16149698948494676,95.56
14,0.14832924456474414,0.15675011542162814,95.66
15,0.14188006477909068,0.15269059031477997,95.73
16,0.13584249500822032,0.14701138012953413,96.1
17,0.13086022359417004,0.14376534205999245,96.0
18,0.12564950582509327,0.13860924004449263,96.27
19,0.12143116626171027,0.13641443669344538,96.35
20,0.11728839976834769,0.13626450382770317,96.17
21,0.11382530471328053,0.13044700604174253,96.35
22,0.10960682737363898,0.12856412095042158,96.51
23,0.10660560854795098,0.1285720436779799,96.4
24,0.10357458326903592,0.12566480665856153,96.52
25,0.10039909956036085,0.12263381800137954,96.59
26,0.09772446923288773,0.1206594494556821,96.6
27,0.0952233909215665,0.1194591304153233,96.73
28,0.09261094068508977,0.11955097900329772,96.75
29,0.09017784846028279,0.11608042463260711,96.78
30,0.08766110827064491,0.11552951047582621,96.79
31,0.0855635612353048,0.11609767493976478,96.74
32,0.08367764234070052,0.11191582573349786,96.88
33,0.08181053449064644,0.11279591179859418,96.85
34,0.07993076310989121,0.11101184244252227,96.91
35,0.078169046215945,0.11189956760573494,96.98
36,0.0761540813630782,0.11129277896800122,96.91
37,0.07487597807825068,0.11173561182045301,96.94
38,0.07323858419942424,0.11011265643350703,96.97
39,0.07146251719512245,0.10988841380547858,96.97
40,0.0701845721190178,0.10730014784003163,97.09
41,0.06888730681886464,0.1063938933131946,97.0
42,0.06730592632162892,0.10558052841842143,97.11
43,0.06607599674438133,0.1057913084131485,96.9
44,0.06464798417113059,0.10491864577073234,97.09
45,0.06363315251076748,0.10561577025249956,97.08
46,0.062191886683537985,0.10344477138906545,97.17
47,0.061077851998489696,0.10473491855408179,97.05
48,0.06017181197670025,0.10459528069919165,96.95
49,0.058749562911142764,0.10262657869255187,97.18
50,0.05795988974336734,0.10364566198280857,97.22
51,0.05641849982897771,0.1038846592205593,97.16
52,0.055601560612354425,0.10233455588053025,97.24
53,0.054806126643697564,0.1041452543599116,97.01
54,0.05367001175205415,0.10221639578067822,97.22
55,0.052719526844423964,0.10145215989024498,97.21
56,0.05206355595967714,0.10127191047567782,97.27
57,0.05084811372247484,0.10082826568747831,97.12
58,0.05001436212436734,0.1004106001234316,97.25
59,0.049076658372674886,0.10130806825828335,97.22
60,0.0482749201320142,0.10064574850987573,97.16
61,0.0474337542611923,0.10098482789624276,97.28
62,0.046811486957627664,0.10088581475277855,97.2
63,0.04588122554665499,0.10091482195543457,97.22
64,0.04506290602620095,0.10084083619753985,97.07
65,0.044501355330665286,0.1011466032694296,97.23
66,0.04355472513948893,0.10118282134054482,97.18
67,0.042800956524900964,0.10199295612936926,97.2
68,0.04228432057330657,0.10184762020718177,97.05
69,0.04168544288907865,0.10191919307261366,97.1
70,0.040892338140648514,0.09960567296370398,97.26
71,0.040133839589782914,0.1001914444433943,97.18
72,0.03942425553342105,0.1016478714357269,97.22
73,0.03884231923083037,0.10112307115314781,97.27
74,0.03819837081699263,0.10165480413497997,97.18
75,0.037739165849526725,0.10104862031061848,97.19
76,0.03701158446252159,0.10215057220822016,97.17
77,0.036421023486535684,0.10089778361810399,97.22
78,0.03597015900816112,0.10105602989552105,97.13
79,0.035325238559001694,0.10175487564278962,97.14
