,train_loss,validate_loss,validate_accuracy
0,1.3932263919033425,2.998598702559534,9.15
1,0.6965047757496636,0.8032710298315902,84.25
2,0.5521500549735221,0.5543672336470796,87.78
3,0.4954892955808575,0.4751978981882733,89.07
4,0.4667388041978677,0.4393728308860972,89.9
5,0.4502010439357233,0.4216843512742239,90.07
6,0.4394712010817415,0.40872486525103274,90.35
7,0.43249091329906497,0.4018331790974798,90.42
8,0.4275922568226868,0.396166577505948,90.61
9,0.42343432011451676,0.3926281587671051,90.81
10,0.4204373529344754,0.38961766615043253,90.9
11,0.41807331372016837,0.38778625273160894,90.87
12,0.4162954273853066,0.3855404291501343,90.99
13,0.4143372372321925,0.3837023200507635,91.21
14,0.4127034835787774,0.3824637972403857,91.17
15,0.4111371016594217,0.3813387276457694,91.26
16,0.4105334468075907,0.38083864346741436,91.41
17,0.40931360079412604,0.38023920178047993,91.32
18,0.40810405638613645,0.37846611097475336,91.43
19,0.4068949807015921,0.3778969570076124,91.36
20,0.4062790640795329,0.37674749320379997,91.41
21,0.40519130724899616,0.375972379537132,91.52
22,0.40458008806782686,0.375867639548172,91.42
23,0.4037658878678324,0.3749704984761838,91.45
24,0.4027832382162516,0.3736314011270712,91.58
25,0.40208335887160784,0.37331731763766596,91.58
26,0.4013290669381686,0.37329331342365374,91.61
27,0.4006414249197103,0.3722660143579917,91.47
28,0.3999066888720088,0.37156076720969927,91.66
29,0.39909356662445966,0.37110572358059724,91.67
30,0.3982781266781184,0.36977722738663316,91.75
31,0.39760502566549155,0.3696343481755702,91.69
32,0.39679594904696336,0.3685013756617438,91.74
33,0.3963575840372597,0.368413204612529,91.83
34,0.3954865475767394,0.3673273003857684,91.75
35,0.39487169942758543,0.36684724214289266,91.74
36,0.3941949483098874,0.3664396326011787,91.72
37,0.39359943383056284,0.3660858130002682,91.88
38,0.3930670466508894,0.3650083597696824,91.85
39,0.3922626446705229,0.36433266507015766,91.78
40,0.3918476036654337,0.36460421097308743,91.81
41,0.3911804546358623,0.36339343608974517,91.82
42,0.39046105242797413,0.36328639802977214,91.86
43,0.38999778076256386,0.36234726943231965,91.95
44,0.38958865873765225,0.36283191891517325,91.86
45,0.3888501642892348,0.3613304146786162,91.87
46,0.388621269373024,0.3609367305115452,91.9
47,0.38822930703033615,0.3604370992961732,91.9
48,0.3874227316312679,0.36012692082326947,91.99
49,0.3870950668726743,0.35956683601202394,92.05
50,0.3864996438520161,0.3591850519224189,91.98
51,0.38614523052494665,0.3592303125256008,92.04
52,0.38588130651500857,0.35829327650327747,92.0
53,0.38525995385305484,0.35787965289271445,92.01
54,0.38492287551879184,0.3580174348470359,92.09
55,0.38470324502772274,0.3572977682118635,92.11
56,0.3843295742420732,0.35694301525104344,92.14
57,0.38370430764616603,0.3563757858804394,92.07
58,0.38343241104303366,0.3559944891934157,92.02
59,0.3831530388066962,0.3558807724330068,92.03
60,0.38279694523095975,0.3556213970357765,92.08
61,0.3827357010611998,0.35571236090928926,92.14
62,0.38221933145667797,0.3550591121307501,92.13
63,0.3819771686383809,0.35505015396523326,92.11
64,0.3816049504558383,0.35422889729673307,92.17
65,0.38142504771732644,0.3544821779543304,92.13
66,0.38113266421611297,0.35394168240833923,92.14
67,0.3808531685468527,0.35411365213282736,92.11
68,0.38068768577783935,0.35367264191219583,92.13
69,0.38053347182316843,0.35335037234933775,92.18
70,0.38015217560714437,0.35319867827262047,92.19
71,0.3799547979664032,0.35263127898373,92.12
72,0.3797347617712841,0.3527615434570446,92.3
73,0.3795681709340209,0.35255765995559885,92.14
74,0.37932599921518456,0.35242069236040086,92.16
75,0.3793397623416332,0.35213974789713837,92.19
76,0.378875879198372,0.35178593757611176,92.28
77,0.37878029023312854,0.3517098458282706,92.2
78,0.378640376962858,0.35164511945404275,92.15
79,0.3782987339162468,0.35165986229267815,92.26
